Outlet_ID,Trade_Spend_LKR
OUT_00001,860.31
OUT_00002,6.37
OUT_00003,0.0
OUT_00004,111.91
OUT_00005,262.56
OUT_00006,230.14
OUT_00007,2142.09
OUT_00008,4999.75
OUT_00009,143.63
OUT_00010,0.0
OUT_00011,0.0
OUT_00012,130.93
OUT_00013,0.0
OUT_00014,0.0
OUT_00015,107.68
OUT_00016,125.28
OUT_00017,1437.1
OUT_00018,0.09
OUT_00019,4999.75
OUT_00020,0.0
OUT_00021,175.65
OUT_00022,0.0
OUT_00023,0.0
OUT_00024,2008.27
OUT_00025,129.44
OUT_00026,391.39
OUT_00027,0.0
OUT_00028,436.34
OUT_00029,1731.09
OUT_00030,4999.75
OUT_00031,0.0
OUT_00032,4999.75
OUT_00033,10.71
OUT_00034,1748.83
OUT_00035,2208.66
OUT_00036,81.41
OUT_00037,2042.78
OUT_00038,312.38
OUT_00039,477.13
OUT_00040,2654.85
OUT_00041,2388.6
OUT_00042,228.84
OUT_00043,0.0
OUT_00044,6.86
OUT_00045,275.09
OUT_00046,0.0
OUT_00047,0.0
OUT_00048,0.0
OUT_00049,2202.72
OUT_00050,4999.75
OUT_00051,0.0
OUT_00052,725.39
OUT_00053,93.09
OUT_00054,0.0
OUT_00055,0.0
OUT_00056,0.21
OUT_00057,1023.76
OUT_00058,401.01
OUT_00059,10.35
OUT_00060,469.13
OUT_00061,121.24
OUT_00062,4999.75
OUT_00063,0.0
OUT_00064,242.38
OUT_00065,0.0
OUT_00066,19.55
OUT_00067,0.0
OUT_00068,0.0
OUT_00069,0.0
OUT_00070,46.53
OUT_00071,4999.75
OUT_00072,690.12
OUT_00073,0.0
OUT_00074,853.05
OUT_00075,0.57
OUT_00076,1191.79
OUT_00077,80.23
OUT_00078,4999.75
OUT_00079,4999.75
OUT_00080,825.97
OUT_00081,0.0
OUT_00082,0.0
OUT_00083,0.0
OUT_00084,0.0
OUT_00085,184.26
OUT_00086,7.98
OUT_00087,4999.75
OUT_00088,0.0
OUT_00089,18.71
OUT_00091,48.37
OUT_00092,1038.35
OUT_00093,0.0
OUT_00094,28.32
OUT_00095,1.62
OUT_00096,2206.44
OUT_00097,51.37
OUT_00098,0.0
OUT_00099,0.0
OUT_00100,0.0
OUT_00101,4999.75
OUT_00102,0.0
OUT_00103,573.05
OUT_00104,1660.05
OUT_00105,0.0
OUT_00106,847.2
OUT_00107,0.0
OUT_00108,4999.75
OUT_00109,27.47
OUT_00110,0.0
OUT_00111,0.0
OUT_00112,4999.75
OUT_00113,0.0
OUT_00114,0.0
OUT_00115,0.0
OUT_00116,0.0
OUT_00117,1152.3
OUT_00118,13.28
OUT_00119,0.0
OUT_00120,850.24
OUT_00121,0.0
OUT_00122,89.1
OUT_00123,0.0
OUT_00124,155.73
OUT_00125,0.0
OUT_00126,0.0
OUT_00127,36.27
OUT_00128,611.3
OUT_00129,33.55
OUT_00130,0.0
OUT_00131,0.02
OUT_00132,0.0
OUT_00133,0.0
OUT_00134,4999.75
OUT_00135,0.0
OUT_00136,0.0
OUT_00137,842.8
OUT_00138,0.11
OUT_00139,0.0
OUT_00140,15.29
OUT_00141,2.38
OUT_00142,18.62
OUT_00143,176.62
OUT_00144,1.58
OUT_00145,164.61
OUT_00146,0.0
OUT_00147,20.93
OUT_00148,2.47
OUT_00149,0.0
OUT_00150,0.0
OUT_00151,0.0
OUT_00152,0.0
OUT_00153,183.33
OUT_00154,0.0
OUT_00155,0.22
OUT_00156,13.29
OUT_00157,135.42
OUT_00158,0.0
OUT_00159,0.0
OUT_00160,1312.91
OUT_00161,215.14
OUT_00162,0.0
OUT_00163,709.09
OUT_00164,0.0
OUT_00165,0.0
OUT_00166,0.0
OUT_00167,0.0
OUT_00168,0.0
OUT_00169,0.0
OUT_00170,0.0
OUT_00171,170.56
OUT_00172,4999.75
OUT_00173,4999.75
OUT_00174,0.0
OUT_00175,0.0
OUT_00176,65.79
OUT_00177,0.0
OUT_00178,0.0
OUT_00179,1022.98
OUT_00180,165.49
OUT_00181,0.0
OUT_00182,4999.75
OUT_00183,0.0
OUT_00184,0.0
OUT_00185,70.25
OUT_00186,0.0
OUT_00187,0.0
OUT_00188,0.0
OUT_00189,568.5
OUT_00190,0.0
OUT_00191,1719.07
OUT_00192,56.55
OUT_00193,0.0
OUT_00194,220.91
OUT_00195,161.95
OUT_00196,0.0
OUT_00197,0.0
OUT_00198,0.0
OUT_00199,1166.06
OUT_00200,28.87
OUT_00201,64.42
OUT_00202,2.74
OUT_00203,1.41
OUT_00204,0.0
OUT_00205,997.94
OUT_00206,943.97
OUT_00207,0.0
OUT_00208,937.18
OUT_00209,10.0
OUT_00210,0.0
OUT_00211,0.0
OUT_00212,4999.75
OUT_00213,1339.25
OUT_00214,4999.75
OUT_00215,0.0
OUT_00216,0.0
OUT_00217,3.4
OUT_00218,0.0
OUT_00219,1480.67
OUT_00220,1542.5
OUT_00221,933.85
OUT_00222,0.0
OUT_00223,0.0
OUT_00224,1661.57
OUT_00225,94.66
OUT_00226,0.0
OUT_00227,24.97
OUT_00228,0.0
OUT_00229,0.0
OUT_00230,0.0
OUT_00231,1550.81
OUT_00232,2.01
OUT_00233,1703.72
OUT_00234,0.0
OUT_00235,0.0
OUT_00236,0.0
OUT_00237,1426.38
OUT_00238,0.0
OUT_00239,0.0
OUT_00240,0.0
OUT_00241,435.13
OUT_00242,0.0
OUT_00243,0.26
OUT_00244,0.0
OUT_00245,0.0
OUT_00246,4999.75
OUT_00247,813.46
OUT_00248,0.0
OUT_00249,868.6
OUT_00250,4999.75
OUT_00251,0.0
OUT_00252,4999.75
OUT_00253,0.0
OUT_00254,1823.96
OUT_00255,0.0
OUT_00256,0.0
OUT_00257,4999.75
OUT_00258,4999.75
OUT_00259,1205.78
OUT_00260,0.0
OUT_00261,1.89
OUT_00262,0.0
OUT_00263,0.0
OUT_00264,6.81
OUT_00265,617.28
OUT_00266,59.36
OUT_00267,1027.65
OUT_00268,0.0
OUT_00269,0.0
OUT_00270,0.0
OUT_00271,0.0
OUT_00272,0.0
OUT_00273,1396.2
OUT_00274,0.0
OUT_00275,34.44
OUT_00276,0.0
OUT_00277,587.4
OUT_00278,3.85
OUT_00279,4999.75
OUT_00280,0.0
OUT_00281,0.0
OUT_00282,0.0
OUT_00283,0.0
OUT_00284,0.0
OUT_00285,0.0
OUT_00286,15.58
OUT_00287,4999.75
OUT_00288,0.0
OUT_00289,0.0
OUT_00290,0.0
OUT_00291,4999.75
OUT_00292,40.4
OUT_00293,15.27
OUT_00294,0.0
OUT_00295,839.77
OUT_00296,250.52
OUT_00297,0.0
OUT_00298,0.0
OUT_00299,1483.52
OUT_00300,0.0
OUT_00301,240.91
OUT_00302,108.92
OUT_00303,118.3
OUT_00304,0.0
OUT_00305,0.0
OUT_00306,54.46
OUT_00307,0.0
OUT_00308,63.54
OUT_00309,0.0
OUT_00310,0.0
OUT_00311,0.0
OUT_00312,9.08
OUT_00313,0.0
OUT_00314,0.4
OUT_00315,67.96
OUT_00316,61.49
OUT_00317,107.53
OUT_00318,0.0
OUT_00319,20.66
OUT_00320,0.0
OUT_00321,0.0
OUT_00322,0.0
OUT_00323,0.0
OUT_00324,186.76
OUT_00325,1.57
OUT_00326,39.32
OUT_00327,6.73
OUT_00328,0.0
OUT_00329,0.0
OUT_00330,0.0
OUT_00331,133.31
OUT_00332,0.0
OUT_00333,1223.35
OUT_00334,0.0
OUT_00335,0.0
OUT_00336,0.0
OUT_00337,0.0
OUT_00338,1488.72
OUT_00339,4999.75
OUT_00340,61.69
OUT_00341,487.7
OUT_00342,0.0
OUT_00343,43.37
OUT_00344,0.0
OUT_00345,1016.7
OUT_00346,0.0
OUT_00347,865.49
OUT_00348,0.0
OUT_00349,0.0
OUT_00350,4999.75
OUT_00351,0.0
OUT_00352,0.0
OUT_00353,12.66
OUT_00354,0.0
OUT_00355,0.0
OUT_00356,67.11
OUT_00357,0.0
OUT_00358,0.0
OUT_00359,0.0
OUT_00360,0.0
OUT_00361,4999.75
OUT_00362,0.0
OUT_00363,19.39
OUT_00364,0.0
OUT_00365,0.0
OUT_00366,0.0
OUT_00367,4999.75
OUT_00368,69.97
OUT_00369,0.0
OUT_00370,0.0
OUT_00371,0.0
OUT_00372,0.0
OUT_00373,0.0
OUT_00374,6.29
OUT_00375,48.83
OUT_00376,484.51
OUT_00377,42.63
OUT_00378,78.83
OUT_00379,1134.4
OUT_00380,0.0
OUT_00381,0.0
OUT_00382,0.0
OUT_00383,35.39
OUT_00384,0.0
OUT_00385,191.0
OUT_00386,889.49
OUT_00387,4999.75
OUT_00388,0.0
OUT_00389,1293.34
OUT_00390,0.0
OUT_00391,294.97
OUT_00392,46.44
OUT_00393,0.0
OUT_00394,0.0
OUT_00395,0.0
OUT_00396,0.0
OUT_00397,115.48
OUT_00398,31.91
OUT_00399,99.56
OUT_00400,0.0
OUT_00401,60.64
OUT_00402,1015.77
OUT_00403,136.88
OUT_00404,66.01
OUT_00405,171.6
OUT_00406,1046.51
OUT_00407,51.36
OUT_00408,183.06
OUT_00409,234.94
OUT_00410,175.92
OUT_00411,1420.34
OUT_00412,63.22
OUT_00413,716.45
OUT_00414,78.93
OUT_00415,107.67
OUT_00416,332.47
OUT_00417,1345.29
OUT_00418,131.41
OUT_00419,98.03
OUT_00420,132.65
OUT_00421,242.16
OUT_00422,538.29
OUT_00423,1064.4
OUT_00424,983.18
OUT_00425,134.0
OUT_00426,297.17
OUT_00427,214.4
OUT_00428,4387.78
OUT_00429,157.37
OUT_00430,114.32
OUT_00431,93.88
OUT_00432,2890.94
OUT_00433,177.91
OUT_00434,2611.23
OUT_00435,149.02
OUT_00436,112.72
OUT_00437,904.01
OUT_00438,217.49
OUT_00439,143.26
OUT_00440,1629.13
OUT_00441,550.89
OUT_00442,72.29
OUT_00443,344.57
OUT_00444,359.01
OUT_00445,1243.06
OUT_00446,764.77
OUT_00447,132.74
OUT_00448,55.63
OUT_00449,3493.08
OUT_00450,1175.1
OUT_00451,132.66
OUT_00452,87.71
OUT_00453,205.16
OUT_00454,194.49
OUT_00455,3496.82
OUT_00456,268.94
OUT_00457,905.06
OUT_00458,72.76
OUT_00459,341.35
OUT_00460,232.79
OUT_00461,145.68
OUT_00462,76.78
OUT_00463,1765.27
OUT_00464,983.63
OUT_00465,219.69
OUT_00466,1413.86
OUT_00467,720.75
OUT_00468,1191.36
OUT_00469,69.23
OUT_00470,234.06
OUT_00471,117.13
OUT_00472,310.28
OUT_00473,129.06
OUT_00474,177.09
OUT_00475,116.64
OUT_00476,160.91
OUT_00477,120.88
OUT_00478,387.91
OUT_00479,120.78
OUT_00480,107.69
OUT_00481,115.87
OUT_00482,120.43
OUT_00483,167.64
OUT_00484,155.54
OUT_00485,340.95
OUT_00486,246.01
OUT_00487,1251.42
OUT_00488,129.62
OUT_00489,374.16
OUT_00490,108.63
OUT_00491,73.39
OUT_00492,1346.78
OUT_00493,178.78
OUT_00494,74.85
OUT_00495,86.74
OUT_00496,139.76
OUT_00497,207.43
OUT_00498,355.92
OUT_00499,287.17
OUT_00500,112.28
OUT_00501,171.78
OUT_00502,257.23
OUT_00503,1327.39
OUT_00504,147.12
OUT_00505,86.32
OUT_00506,2927.08
OUT_00507,3475.98
OUT_00508,212.5
OUT_00509,121.63
OUT_00510,328.62
OUT_00511,124.04
OUT_00512,4780.56
OUT_00513,152.2
OUT_00514,94.06
OUT_00515,1179.14
OUT_00516,99.93
OUT_00517,217.85
OUT_00518,213.69
OUT_00519,77.0
OUT_00520,72.58
OUT_00521,114.45
OUT_00522,967.23
OUT_00523,70.04
OUT_00524,105.38
OUT_00525,1356.25
OUT_00526,206.98
OUT_00527,231.94
OUT_00528,199.59
OUT_00529,231.14
OUT_00530,1548.2
OUT_00531,94.15
OUT_00532,61.76
OUT_00533,114.69
OUT_00534,1322.76
OUT_00535,359.6
OUT_00536,109.86
OUT_00537,101.54
OUT_00538,122.64
OUT_00539,1729.44
OUT_00540,135.24
OUT_00541,327.54
OUT_00542,118.15
OUT_00543,842.83
OUT_00544,114.59
OUT_00545,260.98
OUT_00546,147.82
OUT_00547,318.82
OUT_00548,105.88
OUT_00549,66.13
OUT_00550,279.25
OUT_00551,1350.59
OUT_00552,1460.0
OUT_00553,310.71
OUT_00554,253.47
OUT_00555,121.36
OUT_00556,396.59
OUT_00557,117.54
OUT_00558,89.31
OUT_00559,1098.5
OUT_00560,194.23
OUT_00561,48.99
OUT_00562,146.64
OUT_00563,53.45
OUT_00564,290.29
OUT_00565,272.08
OUT_00566,134.69
OUT_00567,1370.68
OUT_00568,1957.61
OUT_00569,121.38
OUT_00570,745.9
OUT_00571,352.17
OUT_00572,105.88
OUT_00573,1060.97
OUT_00574,136.11
OUT_00575,109.89
OUT_00576,436.4
OUT_00577,1052.6
OUT_00578,147.57
OUT_00579,4999.75
OUT_00580,1193.12
OUT_00581,1156.15
OUT_00582,232.75
OUT_00583,818.81
OUT_00584,1012.35
OUT_00585,150.63
OUT_00586,146.81
OUT_00587,222.16
