Outlet_ID,Distributor_ID,Outlet_Type,Cooler_Count,Trade_Spend_LKR,Discount_LKR,Merchandising_LKR,Promotional_LKR,w_discount,w_merchandising,w_promotional
OUT_00001,DIST_W_03,Grocery,1,860.31,344.12,344.13,172.06,0.4,0.4,0.2
OUT_00002,DIST_W_02,Hotel,0,6.37,1.27,3.51,1.59,0.2,0.55,0.25
OUT_00003,DIST_W_02,Pharmacy,1,0.0,0.0,0.0,0.0,0.2,0.3,0.5
OUT_00004,DIST_W_01,Pharmacy,2,111.91,22.38,33.57,55.96,0.2,0.3,0.5
OUT_00005,DIST_W_03,Kiosk,2,262.56,105.02,105.03,52.51,0.4,0.4,0.2
OUT_00006,DIST_W_02,Kiosk,1,230.14,92.06,92.05,46.03,0.4,0.4,0.2
OUT_00007,DIST_W_03,Hotel,4,2142.09,428.42,642.63,1071.04,0.2,0.3,0.5
OUT_00008,DIST_W_01,Eatery,3,4999.75,1999.9,1999.9,999.95,0.4,0.4,0.2
OUT_00009,DIST_W_03,Hotel,2,143.63,57.45,57.45,28.73,0.4,0.4,0.2
OUT_00010,DIST_W_01,Eatery,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00011,DIST_W_02,Grocery,1,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00012,DIST_W_02,Pharmacy,1,130.93,52.37,52.37,26.19,0.4,0.4,0.2
OUT_00013,DIST_W_01,Hotel,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00014,DIST_W_01,Grocery,1,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00015,DIST_W_01,Bakery,0,107.68,21.54,59.22,26.92,0.2,0.55,0.25
OUT_00016,DIST_W_03,Eatery,1,125.28,50.11,50.11,25.06,0.4,0.4,0.2
OUT_00017,DIST_W_03,Eatery,5,1437.1,574.84,574.84,287.42,0.4,0.4,0.2
OUT_00018,DIST_W_02,Pharmacy,1,0.09,0.02,0.03,0.04,0.2,0.3,0.5
OUT_00019,DIST_W_01,Grocery,4,4999.75,1999.9,1999.9,999.95,0.4,0.4,0.2
OUT_00020,DIST_W_02,SMMT,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00021,DIST_W_03,Kiosk,0,175.65,35.13,96.61,43.91,0.2,0.55,0.25
OUT_00022,DIST_W_01,Bakery,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00023,DIST_W_03,Eatery,0,0.0,0.0,0.0,0.0,0.2,0.55,0.25
OUT_00024,DIST_W_01,Eatery,5,2008.27,803.31,803.31,401.65,0.4,0.4,0.2
OUT_00025,DIST_W_03,Grocery,0,129.44,25.89,71.19,32.36,0.2,0.55,0.25
OUT_00026,DIST_W_01,Grocery,1,391.39,156.56,156.55,78.28,0.4,0.4,0.2
OUT_00027,DIST_W_02,Pharmacy,1,0.0,0.0,0.0,0.0,0.4,0.4,0.2
OUT_00028,DIST_W_03,Grocery,0,436.34,87.27,239.99,109.08,0.2,0.55,0.25
