Outlet_ID,Distributor_ID,Outlet_Type,Outlet_Size,Cooler_Count,uplift_potential,kappa,Trade_Spend_LKR
OUT_00008,DIST_W_01,Eatery,Extra Large,3,1310.8385021183637,1135.3719309686614,5000.0
OUT_00019,DIST_W_01,Grocery,Extra Large,4,1303.0924305045835,1146.0065629923117,5000.0
OUT_00030,DIST_W_01,Grocery,Extra Large,4,1208.4114674427253,1058.7692919570466,5000.0
OUT_00032,DIST_W_02,SMMT,Extra Large,5,1132.2496600342386,1012.7833170749007,5000.0
OUT_00050,DIST_W_01,Grocery,Extra Large,2,1278.6688274032479,1120.6816446981834,5000.0
OUT_00062,DIST_W_01,Pharmacy,Extra Large,3,1242.329586240126,1152.4887172151596,5000.0
OUT_00071,DIST_W_02,Grocery,Extra Large,5,1056.3376945017826,883.7757399531406,5000.0
OUT_00078,DIST_W_01,Eatery,Extra Large,5,1099.562363712199,996.9738403987702,5000.0
OUT_00079,DIST_W_03,Kiosk,Extra Large,5,1082.831840264866,968.9233865993621,5000.0
OUT_00087,DIST_W_02,Grocery,Extra Large,2,1256.6482819216549,1181.7764541817323,5000.0
OUT_00101,DIST_W_01,Bakery,Extra Large,5,1097.8757955392216,883.6236034704943,5000.0
OUT_00108,DIST_W_01,SMMT,Extra Large,2,1313.284478666202,1111.2114539368729,5000.0
OUT_00112,DIST_W_02,Pharmacy,Extra Large,3,1162.7934026780724,1078.999120775797,5000.0
OUT_00134,DIST_W_03,Grocery,Extra Large,2,1299.9208066209465,1172.0597436746239,5000.0
OUT_00172,DIST_W_03,Grocery,Extra Large,2,1310.5109973456113,1201.0924678612225,5000.0
OUT_00173,DIST_W_03,SMMT,Extra Large,2,1277.6046404627696,1081.0500803915743,5000.0
OUT_00182,DIST_W_02,Kiosk,Extra Large,5,1086.585583131998,969.4113675613191,5000.0
OUT_00212,DIST_W_03,Bakery,Extra Large,5,1112.6569805647055,995.302026705692,5000.0
OUT_00214,DIST_W_02,SMMT,Extra Large,4,1122.3358515497027,1003.8972938643924,5000.0
OUT_00246,DIST_W_02,Bakery,Extra Large,2,1151.0339291030766,1107.4192740606718,5000.0
OUT_00250,DIST_W_01,Eatery,Extra Large,2,1263.7198242289273,1197.1748548133985,5000.0
OUT_00252,DIST_W_03,Grocery,Extra Large,3,1248.169739238718,1112.5220208819626,5000.0
OUT_00257,DIST_W_03,Hotel,Extra Large,2,1275.7654249784682,1088.3984286448388,5000.0
OUT_00258,DIST_W_02,Bakery,Extra Large,3,1192.5584146054828,1049.451404852825,5000.0
OUT_00279,DIST_W_02,Hotel,Extra Large,4,1069.493626644235,934.8537254311307,5000.0
OUT_00287,DIST_W_03,Bakery,Extra Large,5,1084.832661266495,935.815274592386,5000.0
OUT_00291,DIST_W_02,SMMT,Extra Large,4,1115.620066760414,1046.202335099752,5000.0
OUT_00339,DIST_W_03,Kiosk,Extra Large,2,1238.402521494409,1120.7458247105628,5000.0
OUT_00350,DIST_W_03,Grocery,Extra Large,4,1178.4877365311888,1062.5709099871374,5000.0
OUT_00361,DIST_W_01,Bakery,Extra Large,2,1273.9683687071233,1121.0921644622686,5000.0
OUT_00367,DIST_W_03,SMMT,Extra Large,4,1084.8737530988492,985.0358240667582,5000.0
OUT_00387,DIST_W_01,Kiosk,Extra Large,2,1282.863591691624,1107.7391238511711,5000.0
OUT_00579,DIST_W_01,Bakery,Extra Large,2,752.9770237241621,725.9875016174262,5000.0
OUT_00817,DIST_W_03,Eatery,Extra Large,5,1439.4216298705967,1261.099240465738,5000.0
OUT_00856,DIST_W_01,Pharmacy,Extra Large,2,684.5873704396663,625.0986441395131,5000.0
OUT_01152,DIST_W_02,Eatery,Extra Large,2,614.0291878719288,584.1381753774622,5000.0
OUT_01209,DIST_W_01,SMMT,Extra Large,5,1424.4230094984434,1268.9297732920106,5000.0
OUT_01424,DIST_W_02,SMMT,Extra Large,5,1389.359738494466,1189.4885055021116,5000.0
OUT_01440,DIST_W_01,Hotel,Extra Large,2,651.0547611484963,619.8321262152194,5000.0
OUT_01712,DIST_W_02,Grocery,Extra Large,2,619.8921641043294,563.5619194865403,5000.0
OUT_01874,DIST_W_01,Hotel,Extra Large,5,1465.0224391840682,1244.1653574422674,5000.0
OUT_01944,DIST_W_01,Hotel,Extra Large,2,670.0902441637106,593.44820027835,5000.0
OUT_01970,DIST_W_02,Kiosk,Extra Large,2,667.120038786524,596.6023243381892,5000.0
OUT_02178,DIST_W_03,SMMT,Large,3,613.1002768549967,583.8253385018184,5000.0
OUT_02322,DIST_W_03,Kiosk,Extra Large,2,654.9984985633132,576.3986787357156,5000.0
OUT_02576,DIST_W_01,Hotel,Extra Large,2,702.3494818419151,630.5975452499457,5000.0
OUT_02636,DIST_W_01,Hotel,Extra Large,2,633.5258465313282,602.2321199355536,5000.0
OUT_02674,DIST_W_02,Hotel,Extra Large,5,1329.5462498491909,1221.4332437999449,5000.0
OUT_02892,DIST_W_03,Bakery,Extra Large,2,667.3758023570078,607.2259366610383,5000.0
OUT_02911,DIST_W_02,Hotel,Extra Large,2,723.9969444599258,650.4594508662683,5000.0
