Outlet_ID,Distributor_ID,Province,Outlet_Type,Outlet_Size,Cooler_Count,monthly_volume_mean,base_pred,cf_add_cooler,monthly_uplift_L,monthly_revenue_uplift_LKR,monthly_margin_uplift_LKR,payback_months,npv_24mo_LKR,npv_lifetime_LKR,roi_24mo,payback_within_24mo,is_greenfield,is_material_case
OUT_00001,DIST_W_03,Western,Grocery,Medium,1,287.9831407239464,461.808,479.487,17.679,4569.334844056697,548.3201812868036,91.18759751402816,-38280.62846413189,-25003.292143964984,-0.7368063129823343,0,0,1
OUT_00002,DIST_W_02,Western,Hotel,Small,0,346.52172912103026,330.504,333.99,3.486,895.546371981422,107.46556463777064,465.2653170206918,-47703.11412513353,-45100.88190164732,-0.9484165289738702,0,1,0
OUT_00003,DIST_W_02,Western,Pharmacy,Small,1,309.8283624765987,330.35,442.303,111.953,31141.830056238614,3737.0196067486336,13.379646151629943,29872.16721721088,120362.482633682,0.7937694112393441,1,0,1
OUT_00005,DIST_W_03,Western,Kiosk,Medium,2,358.8723218564676,506.938,523.117,16.179,4174.645854750695,500.9575025700834,99.80886550951506,-39292.92173320796,-27162.452217888742,-0.75954039876636,0,0,1
OUT_00006,DIST_W_02,Western,Kiosk,Medium,1,326.15690033477904,440.346,462.084,21.738,5612.223734241162,673.4668481089394,74.24270421090132,-35605.840384068564,-19298.131589108045,-0.6767359129077092,0,0,1
OUT_00007,DIST_W_03,Western,Hotel,Large,4,323.17325200827077,722.442,722.442,0.0,0.0,0.0,999.0,-50000.0,-50000.0,-1.0,0,0,0
OUT_00008,DIST_W_01,Western,Eatery,Extra Large,3,317.32749788163613,1613.152,1613.152,0.0,0.0,0.0,999.0,-50000.0,-50000.0,-1.0,0,0,0
OUT_00009,DIST_W_03,Western,Hotel,Medium,2,336.9281033463143,470.468,486.472,16.004,3896.798890088647,467.6158668106376,106.925370905448,-40005.54007266344,-28682.423863953805,-0.775544383930894,0,0,1
OUT_00010,DIST_W_01,Western,Eatery,Small,0,339.8509267605292,334.748,338.234,3.486,900.0005083308829,108.00006099970594,462.96270147603104,-47691.69021322244,-45076.5153912299,-0.9481599707201411,0,1,0
OUT_00011,DIST_W_02,Western,Grocery,Small,1,313.32188779695383,315.599,414.73,99.131,26769.581026014897,3212.3497231217875,15.564930443317234,18658.27885462386,96443.93969203485,0.541927867098458,1,0,1
OUT_00013,DIST_W_01,Western,Hotel,Small,0,446.3523897696088,353.379,353.379,0.0,0.0,0.0,999.0,-50000.0,-50000.0,-1.0,0,1,0
OUT_00014,DIST_W_01,Western,Grocery,Small,1,458.353787956648,352.691,478.851,126.16,31608.253512764724,3792.990421531767,13.182210984811274,31068.444129852374,122914.06864737722,0.8206354023352481,1,0,1
