Outlet_ID,Distributor_ID,Province,Outlet_Type,Outlet_Size,Cooler_Count,monthly_volume_mean,base_pred,cf_add_cooler,monthly_uplift_L,monthly_revenue_uplift_LKR,monthly_margin_uplift_LKR,payback_months,npv_24mo_LKR,npv_lifetime_LKR,roi_24mo,payback_within_24mo,is_greenfield,is_material_case
OUT_18080,DIST_S_01,Southern,Eatery,Medium,2,15.41197153048407,213.024,622.012,408.987,149493.89855734742,17939.26782688169,2.787181755828175,333420.0379991221,767811.6588146851,7.6108485569032105,1,0,1
OUT_19796,DIST_S_01,Southern,Bakery,Medium,2,15.140942158669844,215.842,626.005,410.162,138847.40911492723,16661.68909379127,3.000896230780813,306114.0581165782,709569.6618135924,6.997610765019809,1,0,1
OUT_17219,DIST_S_01,Southern,SMMT,Large,4,15.45096421594898,766.914,1143.44,376.526,133125.38759679106,15975.046511614926,3.1298813411057465,291438.2905495564,678267.1407429739,6.668022325575165,1,0,1
OUT_18678,DIST_S_01,Southern,Kiosk,Medium,2,68.33133534791348,251.109,648.207,397.098,132564.3400407207,15907.720804886485,3.1431278316527376,289999.3229572751,675197.9102464009,6.635705986345513,1,0,1
OUT_19460,DIST_S_02,Southern,Eatery,Medium,2,67.77152912410607,244.179,641.55,397.371,130632.06242103045,15675.847490523654,3.189620212254932,285043.4420449696,664627.3171941153,6.5244067954513545,1,0,1
OUT_19893,DIST_S_02,Southern,Grocery,Medium,2,72.33688455147959,256.857,649.723,392.866,129944.65139961851,15593.35816795422,3.2064933968331837,283280.3790538089,660866.8108916273,6.484811920618026,1,0,1
OUT_17544,DIST_S_01,Southern,Kiosk,Medium,2,24.092313332339216,225.915,648.974,423.059,128813.12229857968,15457.57467582956,3.2346600969803596,280378.2476952439,654676.7409285868,6.41963584439819,1,0,1
OUT_19577,DIST_S_02,Southern,Pharmacy,Medium,2,56.7844070047081,252.132,650.224,398.092,127285.5498888446,15274.265986661352,3.2734797235863113,276460.34952656145,646320.1020395036,6.331647673597449,1,0,1
OUT_17640,DIST_S_02,Southern,Eatery,Medium,2,61.86772121495411,244.242,636.265,392.023,127090.5195197462,15250.862342369544,3.2785031349402005,275960.1381316328,645253.1815082259,6.320413924337381,1,0,1
OUT_19877,DIST_S_01,Southern,SMMT,Medium,2,81.59451344297327,244.156,644.804,400.648,125966.22459257265,15115.946951108717,3.307764982354124,273076.56088962423,639102.6863491472,6.255654536532185,1,0,1
OUT_19541,DIST_S_01,Southern,Eatery,Medium,2,76.84877827185147,244.493,635.352,390.859,125685.59068042247,15082.270881650695,3.3151506422571093,272356.79462291475,637567.4686082897,6.239490023192333,1,0,1
