feature,mean_abs_shap
Outlet_Size_Extra Large,85.70937
monthly_volume_mean,64.88521
Outlet_Size_Large,44.28636
monthly_volume_median,39.33046
Cooler_Count,32.561142
Outlet_Size_Small,29.04463
monthly_volume_q95,25.991882
monthly_volume_std,25.41279
climate_jan_humid_pct,19.173357
Province_Western,7.473774
Outlet_Size_Medium,5.0915565
Latitude,2.5504377
mass_share,2.4036474
Province_Southern,2.3851757
mid_share,1.9363987
Outlet_Type_SMMT,1.5704075
Longitude,1.488536
type_weighted_pressure,1.4815534
spatial_demand_score,1.4164532
monthly_volume_q90,1.2117053
Distributor_ID_DIST_W_01,1.2115982
Outlet_Type_Hotel,1.0824051
competitors_2km,1.0689917
super_premium_share,1.0262129
avg_price_per_liter,0.9050761
climate_jan_temp_c,0.8142495
monthly_cv,0.7938427
Outlet_Type_Pharmacy,0.72774595
Distributor_ID_DIST_W_03,0.7249816
Outlet_Type_Grocery,0.65879315
Outlet_Type_Bakery,0.65478337
Outlet_Type_Eatery,0.62620944
competitors_1km,0.6076851
Distributor_ID_DIST_S_02,0.5367582
territory_radius_m,0.5229133
jan_mean,0.44579363
competitor_poi_score_norm,0.42720613
hhi_1500m,0.39101836
same_type_competitors_1km,0.35908327
Outlet_Type_Kiosk,0.35644802
premium_share,0.34000373
worship_score_norm,0.3354664
tourist_score_norm,0.33117628
competitors_500m,0.30166256
active_months,0.29664677
school_score_norm,0.27890137
Distributor_ID_DIST_NW_02,0.27232963
population_score_norm,0.26531827
Distributor_ID_DIST_W_02,0.20443381
leisure_rec_score_norm,0.2005134
replenishment_friction,0.18865971
same_type_competitors_500m,0.14462668
poi_diversity_score,0.1320697
health_score_norm,0.12951013
sku_diversity,0.11976636
max_consecutive_zeros,0.10278223
competitor_density_norm,0.09743533
food_pairing_score_norm,0.09107948
zero_months_count,0.08264679
footfall_score_norm,0.081258886
Distributor_ID_DIST_C_01,0.06187067
Distributor_ID_DIST_NW_01,0.04428716
Distributor_ID_DIST_S_01,0.043254774
zero_months_share,0.03492067
is_dense_market,0.028244505
Distributor_ID_DIST_C_02,0.018449314
Province_Central,0.018081872
Distributor_ID_DIST_C_03,0.013474754
market_fragmented_flag,0.009640417
market_concentrated_flag,0.0060563153
isolated_territory_flag,0.0018975481
Province_North-Western,0.00092653796
high_friction_flag,0.0
is_isolated_market,0.0
